Brand,Model,Year,Milage,Transmission,Location,Color,Fuel,Price,Post Date
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Optra || ﺍﺮﺘﺑﻭﺃ,2009,170000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻖﻳﺯﺎﻗﺰﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,385000,2025-04-18
Kia || ﺎﻴﻛ,Cerato || ﻮﺗﺍﺮﻴﺳ,2004,258732,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻁﺎﻴﻣﺩ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,971970,2025-04-18
Mercedes || ﺱﺪﻴﺳﺮﻣ,C 180,2013,140000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻢﻄﻘﻤﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,1425000,2025-04-18
Nissan || ﻥﺎﺴﻴﻧ,Sentra || ﺍﺮﺘﻨﺳ,2019,175000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺪﻳﺍﺯ ﺦﻴﺸﻟﺍ ﺔﻨﻳﺪﻣ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,685000,2025-04-18
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Pickup || ﺏﺍ ﻚﻴﺑ,2022,95392,ﻝﺍﻮﻴﻧﺎﻣ,ﺪﻴﻌﺳﺭﻮﺑ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,1050000,2025-04-18
Daewoo || ﻮﻳﺍﺩ,Nubira 2 || 2 ﺍﺮﻴﺑﻮﻧ,2006,360000,ﻝﺍﻮﻴﻧﺎﻣ,ﻥﺎﻀﻣﺭ ﻦﻣ ﺮﺷﺎﻌﻟﺍ,ﻯﻭﺎﻤﺳ,ﻦﻳﺰﻨﺑ,235000,2025-04-18
Kia || ﺎﻴﻛ,Sportage || ﺝﺎﺗﺭﻮﺒﺳ,2022,40000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻴﺤﺒﻟﺍ,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,1850000,2025-04-18
Ford || ﺩﺭﻮﻓ,Focus || ﺲﻛﻮﻓ,2018,104000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,680000,2025-04-18
Mercedes || ﺱﺪﻴﺳﺮﻣ,E 250,2018,98000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,2950000,2025-04-18
Renault || ﻮﻨﻳﺭ,Megane || ﻥﺎﺠﻴﻣ,2007,365000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﻲﻧﺍﺮﻴﻓ,ﻦﻳﺰﻨﺑ,320000,2025-04-18
